
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000024                       # Number of seconds simulated (Second)
simTicks                                     24091000                       # Number of ticks simulated (Tick)
finalTick                                    24091000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.05                       # Real time elapsed on the host (Second)
hostTickRate                                490737045                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     638128                       # Number of bytes of host memory used (Byte)
simInsts                                         8624                       # Number of instructions simulated (Count)
simOps                                           8638                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   175306                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     175564                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            48184                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.587199                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.178981                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           15469                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      119                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          13789                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    124                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6949                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              3694                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  49                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               17540                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.786146                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.647803                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     13016     74.21%     74.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      1265      7.21%     81.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                       904      5.15%     86.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       672      3.83%     90.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       672      3.83%     94.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       436      2.49%     96.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       301      1.72%     98.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       166      0.95%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       108      0.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 17540                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      64     15.57%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.57% # attempts to use FU when none available (Count)
